Control, Input, SWNOutput, SWNDrain, SWPOutput, SWPDrain
0,0,0,0,0,0
0,10,1.6654,0.8553,0.1786,1.3854
0,20,3.5056,1.6133,0.193,2.879
0,30,5.5212,2.2821,0.1385,4.4925
0,40,7.712,2.87,0.111,6.2348
0,50,10.0771,3.3852,0.2049,8.112
0,60,12.6151,3.8361,0.5115,10.1276
10,0,1.6654,0.8553,0.6399,0.5164
10,10,7.5426,2.9542,0.6944,2.3078
10,20,11.8157,3.9182,0.7395,3.9924
10,30,16.087,4.6158,0.7228,5.7173
10,40,20.4789,5.1567,0.6731,7.5088
10,50,25.027,5.5953,0.6274,9.3806
10,60,29.742,5.9672,0.6275,11.3408
20,0,3.5056,1.6133,4.2294,1.2781
20,10,11.8235,3.9158,2.5418,2.9938
20,20,17.5298,4.8355,2.2234,4.8082
20,30,23.1035,5.4726,2.0069,6.6766
20,40,28.7347,5.9643,1.8391,8.6108
20,50,34.48,6.377,1.7266,10.6188
20,60,40.3566,6.7532,1.6926,12.7054
30,0,5.5212,2.2821,12.5358,2.5806
30,10,16.1081,4.6092,6.8026,3.9768
30,20,23.1186,5.4682,5.5574,5.8588
30,30,29.8534,6.0627,4.8089,7.8396
30,40,36.5682,6.5415,4.293,9.9005
30,50,43.3398,6.9762,3.9426,12.0375
30,60,50.1933,7.4116,3.7448,14.2486
40,0,7.712,2.87,25.7516,4.537
40,10,20.519,5.1446,13.974,5.4873
40,20,28.772,5.9543,11.1708,7.3765
40,30,36.5915,6.5362,9.4882,9.4255
40,40,44.2998,7.0423,8.3325,11.5766
40,50,51.9956,7.5447,7.5171,13.8095
40,60,59.7127,8.0879,6.9707,16.1134
50,0,10.0771,3.3852,42.5675,7.0654
50,10,25.092,5.577,18.5025,7.5834
50,20,34.5463,6.3612,14.716,9.4349
50,30,43.3942,6.9658,12.3992,11.5052
50,40,52.0274,7.5401,10.7833,13.6985
50,50,60.5681,8.1538,9.5075,15.9781
50,60,69.0604,8.8496,8.7581,18.3238
60,0,12.6151,3.8361,49.35,9.9315
60,10,29.8377,5.9425,27.2471,10.1501
60,20,40.4584,6.7322,21.6922,11.9411
60,30,50.2857,7.3974,18.2131,13.991
60,40,59.7836,8.0807,15.7414,16.1759
60,50,69.0999,8.8476,13.8994,18.4463
60,60,78.2899,9.7371,12.5118,20.7745
